reference,name,site-addre,hectares,ownership-,planning_2,water_risk,soil_risk,slope_risk,total_risk
16,16,"Springside Mills, Belmont Road, Belmont",12.25,not-owned-by-a-public-authority,not-permissioned,0.9609345653917795,0.5833333333333334,0.7626035525717667,0.7689571504322932
1036-BOL,1036-BOL,"Urban Village 1, Chorley Street North, Bolton, BL1 4AN",1.16,mixed-ownership,not-permissioned,0.918511693420158,0.5833333333333334,0.7740518664033672,0.7586322977189529
1037-BOL,1037-BOL,"Urban Village 2, Bark Street North, Bolton, BL1 2PB",0.4,mixed-ownership,not-permissioned,0.947692126219339,0.5833333333333334,0.809906715360259,0.7803107249709772
1040-BOL,1040-BOL,Urban Village 5 St Helena S,0.45,owned-by-a-public-authority,not-permissioned,0.9758112148470929,0.5833333333333334,0.8707534345547961,0.8099659942450742
1042-BOL,1042-BOL,Central Street,1.41,owned-by-a-public-authority,not-permissioned,0.9971735660763609,0.5833333333333334,0.7573837669339879,0.7792968887812274
1045-BOL,1045-BOL,"King Street/Deansgate, BL1 2JR",0.22,owned-by-a-public-authority,not-permissioned,0.9957631037530864,0.5833333333333334,0.9443180444196274,0.8411381605020157
1048-BOL,1048-BOL,Breightmet Street,2.08,owned-by-a-public-authority,not-permissioned,0.9468938804065383,0.5833333333333334,0.94012818860055,0.8234518007801405
1049-BOL,1049-BOL,"Ash Street, BL2 1EH",0.15,owned-by-a-public-authority,not-permissioned,0.913550417789246,0.5833333333333334,0.9549481209615607,0.8172772906947133
1051-BOL,1051-BOL,"Site of former Bolton Community College, corner of Manchester Road and Lower Bridgeman Street",0.58,owned-by-a-public-authority,not-permissioned,0.9173938585710539,0.5833333333333334,0.8641735194224003,0.7883002371089293
1052-BOL,1052-BOL,"BIZ Gas Street, BL1 4TG",0.36,mixed-ownership,not-permissioned,0.9972241962795106,0.5833333333333334,0.9490640258922506,0.8432071851683648
1053-BOL,1053-BOL,"Biz Spa Road, BL1 4AG",0.24,owned-by-a-public-authority,not-permissioned,0.9770268003096158,0.5833333333333334,0.8944008016158423,0.8182536450862639
1055-BOL,1055-BOL,"BIZ New Holder Street, Bolton, BL1 4SN",0.2,not-owned-by-a-public-authority,not-permissioned,0.9964407982935704,0.5833333333333334,0.9557991888641456,0.8451911068303497
1056-SHLAA,1056-SHLAA,"BIZ Spa Road, Bolton, BL1 4SR",0.72,not-owned-by-a-public-authority,not-permissioned,0.9895988455043282,0.5833333333333334,0.9114841939180404,0.8281387909185672
1057-BOL,1057-BOL,Redgate Way,1.57,owned-by-a-public-authority,not-permissioned,0.5838619805803898,0.5833333333333334,0.9349660636839476,0.7007204591992237
1058-BOL,1058-BOL,Carr Drive,1.12,owned-by-a-public-authority,not-permissioned,0.5683342208932092,0.5833333333333334,0.9198749555166201,0.6905141699143876
1073-BOL,1073-BOL,Manor Garage,0.61,not-owned-by-a-public-authority,not-permissioned,0.583720309494648,0.75,0.9567687788267494,0.7634963627737991
1074-BOL,1074-BOL,Bent Street Works,0.69,mixed-ownership,not-permissioned,0.7775131581231655,0.5833333333333334,0.9155729579832147,0.7588064831465712
1077-BOL,1077-BOL,Folds Road/Turton Street,1.54,not-owned-by-a-public-authority,not-permissioned,0.9314470146971707,0.5833333333333334,0.9691056569507818,0.8279620016604285
1081-BOL,1081-BOL,"Travis Perkins, Bolton, BL1 2BB",0.49,not-owned-by-a-public-authority,not-permissioned,0.9576344083341477,0.5833333333333334,0.9341375476103956,0.8250350964259588
1132-BOL,1132-BOL,Tennyson Mill/Brownlow Fold Mill,1.03,not-owned-by-a-public-authority,not-permissioned,0.8338900419294781,0.5833333333333334,0.8983008002443373,0.7718413918357162
1135-BOL,1135-BOL,Riversdale Mill,0.62,not-owned-by-a-public-authority,not-permissioned,0.9644618391282616,0.5833333333333334,0.9439368564595886,0.8305773429737279
1141-BOL,1141-BOL,Hartford Tannery,1.16,not-owned-by-a-public-authority,not-permissioned,0.7765040705139201,0.5833333333333334,0.9167680024327464,0.7588684687599999
1147-BOL,1147-BOL,Wordsworth Mill,0.32,not-owned-by-a-public-authority,not-permissioned,0.8384676453971899,0.5833333333333334,0.9122167352374604,0.7780059046559945
1148-BOL,1148-BOL,Gilnow Mill,1.65,not-owned-by-a-public-authority,not-permissioned,0.9612721679493412,0.5833333333333334,0.8839367882702065,0.8095140965176272
1149-BOL,1149-BOL,"Atlas Mill No 4, Mornington Road BL1 4EU",0.27,not-owned-by-a-public-authority,not-permissioned,0.7712986870559846,0.5833333333333334,0.8626729383649513,0.7391016529180897
1150-BOL,1150-BOL,"Atlas Mill No 7, Mornington Road BL1 4EU",0.34,not-owned-by-a-public-authority,not-permissioned,0.7525236455734085,0.5833333333333334,0.8583706633779689,0.7314092140949034
1151-BOL,1151-BOL,Brownlow Folds Mill,1.04,not-owned-by-a-public-authority,not-permissioned,0.8125746112172108,0.5833333333333334,0.8968214588158288,0.7642431344554576
1161-BOL,1161-BOL,Dinsdale Drive,0.72,not-owned-by-a-public-authority,not-permissioned,0.9309417516969664,0.5833333333333334,0.8668992560780202,0.7937247803694399
1163-BOL,1163-BOL,"Land and premises at junction of New Holder Street/Garside Street, Bolton",0.26,not-owned-by-a-public-authority,not-permissioned,0.9844846197516536,0.5833333333333334,0.9115322646964482,0.8264500725938118
1168-BOL,1168-BOL,Long Lane/Radcliffe Road,1.03,not-owned-by-a-public-authority,not-permissioned,0.8866787470374476,0.5833333333333334,0.9658246287590938,0.8119455697099583
1172-BOL,1172-BOL,Garthmere,0.77,not-owned-by-a-public-authority,not-permissioned,0.4695381240622392,0.5833333333333334,0.8579265814674994,0.6369326796210241
1174-SHLAA,1174-SHLAA,"United Utilities - Manchester Road, Bolton",1.45,not-owned-by-a-public-authority,not-permissioned,0.8584502024155393,0.5833333333333334,0.9481359406457792,0.7966398254648839
1183-BOL,1183-BOL,"Tarmac, Stopes Road, Little Lever",2.21,not-owned-by-a-public-authority,not-permissioned,0.815965180902607,0.5833333333333334,0.9380711969903911,0.7791232370754438
1204-BOL,1204-BOL,"Chadwick Street Campus, Chadwick Street, Bolton",1.8,owned-by-a-public-authority,not-permissioned,0.9367659231147655,0.5833333333333334,0.9424390838821098,0.820846113443403
1219-BOL,1219-BOL,"T Sutcliffe and Co Ltd, Weston Street, Bolton, BL3 2AL",0.68,not-owned-by-a-public-authority,not-permissioned,0.8159765104966016,0.5833333333333334,0.9237429704569042,0.7743509380956132
1222-BOL,1222-BOL,Romer Street Works and Health Centre,0.76,mixed-ownership,not-permissioned,0.9514033311537564,0.5833333333333334,0.9562845315040914,0.8303403986637271
1227-BOL,1227-BOL,Clare Court,1.47,owned-by-a-public-authority,not-permissioned,0.5394208911996301,0.5833333333333334,0.9574094855030908,0.6933879033453514
1236-BOL,1236-BOL,"Land at Mather Street, Kearsley, Bolton, BL4 8AT",0.32,not-owned-by-a-public-authority,not-permissioned,0.7769802330426547,0.75,0.9661276773584633,0.8310359701337061
1263-BOL,1263-BOL,"86 Chapeltown Road, Bromley Cross, Bolton, BL7 9NE",0.64,not-owned-by-a-public-authority,not-permissioned,0.8791615066663391,0.5833333333333334,0.8067541332321767,0.7564163244106163
1279-BOL,1279-BOL,Armor Holdings,1.69,not-owned-by-a-public-authority,not-permissioned,0.5986841524902914,0.5833333333333334,0.9535559698578961,0.711857818560507
127-BOL,127-BOL,"Land to the rear of Halliwell Mills, Raglan Street, BL1 6NP",0.93,not-owned-by-a-public-authority,not-permissioned,0.9498476546441268,0.5833333333333334,0.8939865788131663,0.8090558555968754
1288-BOL,1288-BOL,"Century Motors, George Street",0.65,not-owned-by-a-public-authority,not-permissioned,0.5679734365040484,0.75,0.9428134254713534,0.7535956206584672
128-SHLAA,128-SHLAA,"Land off Station Road, Blackrod, BL6 5JE",0.37,not-owned-by-a-public-authority,not-permissioned,0.9257345183844289,0.5833333333333334,0.9275842638891617,0.8122173718689747
1290-BOL,1290-BOL,Century Mill,1.39,not-owned-by-a-public-authority,not-permissioned,0.5831106657052169,0.7188508314718293,0.9179955798265078,0.7399856923345179
1291-BOL,1291-BOL,Farnworth Industrial Estate,1.04,not-owned-by-a-public-authority,not-permissioned,0.7776755330363204,0.7395131086142323,0.9365018624901509,0.8178968347135678
1295-BOL,1295-BOL,"Falcon View, Cotton Street, Bolton",0.52,owned-by-a-public-authority,not-permissioned,0.906387632482173,0.5833333333333334,0.8970039141927052,0.7955749600027372
1297-BOL,1297-BOL,"Land at Campbell Street, Farnworth, Bolton, BL4 7HH",0.86,not-owned-by-a-public-authority,not-permissioned,0.7452304429241803,0.5833333333333334,0.9492073159451102,0.7592570307342079
1298-BOL,1298-BOL,Hollycroft Avenue,0.95,owned-by-a-public-authority,not-permissioned,0.8694150022582436,0.5833333333333334,0.9416629590749274,0.7981370982221682
